,pymonnto_slow_LIF.py,pymonntorch_slow_LIF_cpu.py,pymonntorch_slow_LIF_cuda.py,pymonnto_fast_LIF.py,pymonntorch_fast_LIF_cpu.py,pymonntorch_fast_LIF_cuda.py
0,24.6791818141937,15.8638668060303,0.41823148727417,0.04773473739624,0.121009826660156,0.251376152038574
1,25.2325661182404,13.5344800949097,0.415341377258301,0.048648834228516,0.118552923202515,0.270931720733643
2,24.6701641082764,20.8760380744934,0.414768695831299,0.047051668167114,0.118916988372803,0.262123584747314
3,24.5756692886353,21.0726075172424,0.414690732955933,0.046794176101685,0.118808031082153,0.264657974243164
4,25.0690453052521,14.1329622268677,0.413244009017944,0.046715259552002,0.118147373199463,0.260246753692627
5,24.5659499168396,13.5324084758759,0.41620659828186,0.047762632369995,0.118526220321655,0.257531642913818
6,24.8280093669891,14.6122839450836,0.415477275848389,0.047205686569214,0.11821985244751,0.247804164886475
7,24.5444002151489,14.9072353839874,0.41445803642273,0.046210765838623,0.116507291793823,0.259958267211914
8,24.7283706665039,11.6559705734253,0.41431188583374,0.046150207519531,0.115965843200684,0.247043371200562
9,24.8288083076477,15.6838335990906,0.412558555603027,0.046782732009888,0.118614912033081,0.274880647659302
