,brian_izh_cpp.py,brian_izh_cuda.py,brian_izh.py,pymonnto_izh.py,pymonntorch_izh_cpu.py,pymonntorch_izh_cuda.py,pynn_nest_izh.py
0,8332.0,8298.0,8324.0,,,,
1,8366.0,8299.0,8326.0,,,,
2,8397.0,8317.0,8348.0,,,,
3,8354.0,8354.0,8335.0,,,,
4,8340.0,8357.0,8315.0,,,,
5,8271.0,8301.0,8403.0,,,,
6,8349.0,8310.0,8344.0,,,,
7,8255.0,8262.0,8382.0,,,,
8,8331.0,8346.0,8367.0,,,,
9,8351.0,8327.0,8380.0,,,,
10,,,,7791.0,8092.0,8082.0,8613.0
11,,,,7747.0,8080.0,8041.0,8569.0
12,,,,7736.0,8111.0,8045.0,8634.0
13,,,,7738.0,8095.0,8027.0,8600.0
14,,,,7720.0,8105.0,8103.0,8643.0
15,,,,7737.0,8045.0,8129.0,8604.0
16,,,,7752.0,8066.0,8078.0,8670.0
17,,,,7764.0,8116.0,8114.0,8661.0
18,,,,7719.0,8046.0,8085.0,8677.0
19,,,,7707.0,8044.0,8033.0,8669.0
