,brian_LIF_cpp.py,brian_LIF_gpu.py,brian_LIF.py,nest_native_LIF.py,pymonnto_fast_LIF.py,pymonntorch_fast_LIF_cpu.py,pymonntorch_fast_LIF_cuda.py,pymonntorch_slow_LIF_cpu.py,pymonntorch_slow_LIF_cuda.py,pymonnto_slow_LIF.py
0,1.59795,0.429,2.970600128173828,,,,,,,
1,1.56232,0.436,2.8815689086914062,,,,,,,
2,1.54568,0.429,3.0514907836914062,,,,,,,
3,1.63676,0.431,2.969151020050049,,,,,,,
4,1.56853,0.419,3.08384370803833,,,,,,,
5,1.6294,0.428,2.9344043731689453,,,,,,,
6,1.55218,0.439,3.0305662155151367,,,,,,,
7,1.55476,0.433,3.046222925186157,,,,,,,
8,1.60154,0.423,3.033607721328736,,,,,,,
9,1.57223,0.427,3.198056697845459,,,,,,,
10,,,,5.969335556030273,0.07015514373779297,0.10142850875854492,0.10807251930236816,40.5364727973938,8.70727801322937,38.356826305389404
11,,,,5.960982084274292,0.07227945327758789,0.0809774398803711,0.10170459747314453,40.81119990348816,7.792153358459473,38.69086670875549
12,,,,6.044794082641602,0.06566119194030762,0.09128499031066895,0.10251426696777344,40.46184515953064,7.7975029945373535,38.74877214431763
13,,,,5.6916282176971436,0.06745314598083496,0.08227920532226562,0.10211181640625,42.64879584312439,7.835488557815552,38.87597298622131
14,,,,5.923734903335571,0.06822013854980469,0.08653569221496582,0.10226917266845703,42.53665232658386,7.831059217453003,38.71340084075928
15,,,,5.831609487533569,0.07049083709716797,0.1166989803314209,0.10177826881408691,41.473228216171265,7.826809883117676,38.76316499710083
16,,,,5.984014511108398,0.06795811653137207,0.08932113647460938,0.10082793235778809,49.95474886894226,7.839181900024414,39.54294562339783
17,,,,6.017829179763794,0.07037115097045898,0.08783698081970215,0.10160112380981445,48.189592599868774,7.816983938217163,38.88888192176819
18,,,,5.8710410594940186,0.06957411766052246,0.0874330997467041,0.13007020950317383,42.89916014671326,7.793894290924072,38.72165012359619
19,,,,5.96575403213501,0.0685725212097168,0.08806920051574707,0.10096502304077148,43.91790246963501,7.792511701583862,38.69201993942261
